10001, 2005-9-28, everbank, W, 899, 9458
14242, 2009-2-7, georgia dome, L, 1270, 5589
14243, 2015-6-9, raymond james, W, 1737, 4808
14244, 2004-12-12, giants, L, 494, 7529
14245, 2009-11-29, dallas cowboys, W, 3959, 8341
14246, 2004-10-17, qwest, L, 2857, 337
14247, 2016-7-17, dolphin, T, 4280, 3372
14248, 2008-9-6, heinz, W, 4699, 1340
14249, 2003-7-21, ford, T, 1280, 2176
14250, 2016-4-18, reliant, W, 4099, 5080
14251, 2004-6-18, edward jones, L, 1943, 6384
14252, 2005-9-14, giants, T, 263, 577
14253, 2000-7-11, edward jones, L, 688, 8298
14254, 2009-2-25, edward jones, W, 854, 7994
14255, 2001-5-23, reliant, L, 2259, 7607
14256, 2012-4-16, cleveland browns, W, 4833, 6307
14257, 2005-6-20, paul brown, T, 2234, 8084
14258, 2003-1-30, lambeau, L, 4197, 8700
14259, 2001-11-19, lp, W, 3819, 3625
14260, 2004-11-5, m&t bank, L, 3371, 2913
14261, 2006-8-6, everbank, L, 2713, 3405
14262, 2002-5-28, dolphin, L, 1248, 1388
14263, 2008-8-13, heinz, L, 1998, 4000
14264, 2011-3-18, university of phoenix, W, 3812, 8318
14265, 2011-8-30, ford, L, 1912, 288
14266, 2012-5-29, oakland-alameda, W, 1300, 7420
14267, 2016-11-20, reliant, W, 4985, 9201
14268, 2005-5-27, m&t bank, L, 1100, 253
14269, 2010-4-14, georgia dome, T, 1916, 8330
14270, 2002-7-23, lincoln, T, 1479, 6518
14271, 2016-1-18, paul brown, L, 4223, 6843
14272, 2003-5-27, candlestick, W, 4153, 6911
14273, 2010-2-26, university of phoenix, W, 1464, 5029
14274, 2004-11-23, georgia dome, W, 3258, 4915
14275, 2003-1-18, m&t bank, T, 3935, 1699
14276, 2015-1-29, lambeau, T, 3983, 3239
14277, 2008-8-4, ford, W, 596, 6740
14278, 2013-2-12, dolphin, W, 4273, 1601
14279, 2003-6-16, invesco, W, 1758, 5429
14280, 2000-5-28, ralph wilson, T, 1061, 5896
14281, 2008-12-27, lp, L, 1829, 192
14282, 2008-6-13, candlestick, T, 4594, 2306
14283, 2009-7-15, edward jones, L, 3969, 9927
14284, 2010-7-16, m&t bank, T, 4003, 6963
14285, 2005-2-21, hubert metrodome, W, 1840, 3636
14286, 2016-4-17, lambeau, W, 4032, 3858
14287, 2000-11-4, arrowhead, L, 1612, 8899
14288, 2016-10-10, lp, T, 2384, 969
14289, 2008-1-1, lp, L, 2256, 5700
14290, 2002-6-11, hubert metrodome, W, 1913, 1066
14291, 2006-10-17, arrowhead, W, 2202, 4727
14292, 2011-9-7, fedexfield, T, 1489, 9116
14293, 2005-1-26, dolphin, T, 4290, 1670
14294, 2003-7-7, cleveland browns, T, 3442, 1338
14295, 2002-3-29, reliant, L, 865, 6343
14296, 2003-10-12, qualcomm, T, 1836, 7523
14297, 2001-3-25, hubert metrodome, L, 3017, 8522
14298, 2009-2-9, arrowhead, T, 844, 4081
14299, 2007-10-29, cleveland browns, L, 3076, 4217
14300, 2015-12-2, lucas oil, L, 3295, 3102
14301, 2011-12-14, soldier field ii, L, 4609, 695
14302, 2017-2-11, everbank, W, 1443, 2508
14303, 2014-5-11, heinz, L, 3360, 1101
14304, 2015-5-19, m&t bank, W, 2536, 3204
14305, 2012-12-10, university of phoenix, T, 4995, 4852
14306, 2017-9-18, lucas oil, T, 2597, 8475
14307, 2010-10-14, louisiana superdome, W, 4341, 9893
14308, 2003-9-6, heinz, L, 1487, 6633
14309, 2014-10-30, lincoln, L, 3907, 2921
14310, 2002-6-26, dolphin, T, 557, 6616
14311, 2005-11-3, paul brown, T, 3029, 6013
14312, 2015-2-25, dallas cowboys, T, 4577, 988
14313, 2006-4-23, dolphin, L, 2115, 2698
14314, 2015-11-6, lincoln, T, 262, 6941
14315, 2013-11-28, paul brown, W, 1478, 7263
14316, 2001-8-3, qualcomm, W, 1183, 4693
14317, 2014-12-6, reliant, W, 4437, 6511
14318, 2013-3-10, dolphin, W, 768, 9463
14319, 2014-12-1, cleveland browns, L, 2614, 7263
14320, 2007-2-26, oakland-alameda, T, 4797, 9241
14321, 2003-6-22, lp, W, 4804, 754
14322, 2015-7-17, fedexfield, T, 3103, 5133
14323, 2003-10-5, bank of america, L, 4660, 8004
14324, 2009-5-26, oakland-alameda, L, 4722, 4979
14325, 2007-11-1, louisiana superdome, W, 2024, 901
14326, 2000-9-5, edward jones, W, 2411, 7461
14327, 2018-8-22, lp, L, 2144, 9010
14328, 2001-11-17, invesco, W, 1609, 7813
14329, 2002-3-18, dolphin, L, 1272, 4591
14330, 2011-4-23, hubert metrodome, T, 1364, 1677
14331, 2014-4-6, fedexfield, L, 2817, 2107
14332, 2006-3-24, lambeau, L, 1292, 6764
14333, 2017-10-9, reliant, W, 4706, 9823
14334, 2002-7-8, everbank, T, 3449, 7199
14335, 2013-7-17, gillette, T, 821, 136
14336, 2008-3-8, bank of america, T, 1493, 9832
14337, 2017-11-4, fedexfield, W, 4975, 3774
14338, 2010-10-5, qualcomm, T, 3515, 5070
14339, 2011-8-18, arrowhead, L, 1026, 8934
14340, 2004-3-24, hubert metrodome, T, 2435, 9007
14341, 2002-11-19, bank of america, L, 2316, 3714
14342, 2001-12-2, edward jones, T, 3130, 9930
14343, 2013-2-8, lp, T, 3406, 8331
14344, 2006-10-12, dallas cowboys, T, 3111, 9598
14345, 2018-7-7, bank of america, W, 2054, 9944
14346, 2014-6-20, louisiana superdome, W, 2730, 9287
14347, 2005-6-18, louisiana superdome, W, 3842, 4880
14348, 2006-11-13, university of phoenix, T, 4624, 7720
14349, 2012-1-7, georgia dome, L, 2821, 5150
14350, 2009-10-7, soldier field ii, W, 2051, 8839
14351, 2000-5-17, ford, L, 4921, 1355
14352, 2009-12-11, paul brown, T, 3117, 9075
14353, 2017-11-10, invesco, L, 4723, 2135
14354, 2011-9-20, oakland-alameda, L, 3992, 3653
14355, 2009-9-23, fedexfield, T, 2765, 333
14356, 2003-8-27, paul brown, T, 3443, 8378
14357, 2005-5-23, gillette, W, 1537, 9366
14358, 2018-3-24, m&t bank, W, 4364, 4221
14359, 2002-4-17, giants, T, 3812, 1499
14360, 2012-10-29, paul brown, W, 1957, 6862
14361, 2013-12-10, candlestick, L, 1538, 1877
14362, 2011-3-3, paul brown, T, 891, 2382
14363, 2013-10-1, university of phoenix, L, 715, 2449
14364, 2005-3-10, m&t bank, W, 2088, 2984
14365, 2010-8-23, gillette, T, 1565, 416
14366, 2016-4-24, dolphin, W, 3805, 5157
14367, 2016-5-18, qualcomm, L, 295, 1620
14368, 2007-10-4, gillette, L, 3151, 8373
14369, 2011-6-21, ford, W, 1194, 9696
14370, 2012-7-18, edward jones, L, 3286, 8315
14371, 2012-10-14, louisiana superdome, T, 2303, 9338
14372, 2007-8-2, lincoln, T, 4888, 5314
14373, 2006-4-14, lambeau, W, 3232, 7713
14374, 2006-4-16, raymond james, W, 4005, 1680
14375, 2010-6-6, lincoln, L, 4042, 2928
14376, 2005-4-28, oakland-alameda, T, 184, 196
14377, 2010-8-17, louisiana superdome, W, 1894, 9947
14378, 2017-3-22, reliant, W, 1893, 2975
14379, 2008-2-17, qwest, W, 3920, 4869
14380, 2009-7-14, hubert metrodome, W, 424, 1096
14381, 2010-8-25, invesco, L, 214, 2883
14382, 2009-5-24, qualcomm, T, 987, 7610
14383, 2002-7-17, ralph wilson, L, 327, 6948
14384, 2001-9-27, arrowhead, W, 1735, 5520
14385, 2008-10-6, edward jones, T, 544, 2158
14386, 2017-9-14, candlestick, T, 2665, 6467
14387, 2007-8-18, lambeau, L, 2186, 333
14388, 2005-3-17, ralph wilson, L, 4042, 5881
14389, 2003-5-20, candlestick, L, 4934, 1373
14390, 2012-8-24, m&t bank, W, 520, 9131
14391, 2004-12-30, oakland-alameda, T, 4142, 5032
14392, 2013-1-6, edward jones, T, 1081, 1308
14393, 2014-1-9, arrowhead, L, 2444, 8577
14394, 2004-3-25, fedexfield, T, 2400, 2733
14395, 2003-9-4, ralph wilson, L, 3454, 3331
14396, 2017-6-28, soldier field ii, W, 4591, 1844
14397, 2009-11-26, giants, L, 468, 8339
14398, 2003-6-27, oakland-alameda, W, 3303, 8610
14399, 2016-12-10, soldier field ii, W, 3903, 5694
14400, 2002-3-13, arrowhead, L, 3357, 6764
14401, 2015-9-18, hubert metrodome, L, 3327, 4775
14402, 2013-2-18, edward jones, L, 3465, 6671
14403, 2008-2-28, lucas oil, T, 2354, 8457
14404, 2004-4-4, lucas oil, T, 600, 5787
14405, 2009-11-21, qualcomm, W, 3105, 6810
14406, 2013-1-14, georgia dome, W, 970, 6038
14407, 2006-5-12, edward jones, W, 2027, 8061
14408, 2009-4-7, arrowhead, T, 1596, 9449
14409, 2013-5-7, university of phoenix, L, 1815, 9010
14410, 2007-4-14, cleveland browns, W, 4904, 7047
14411, 2014-10-10, lucas oil, L, 3610, 1893
14412, 2010-1-24, reliant, T, 4825, 1056
14413, 2013-5-28, candlestick, W, 3649, 5137
14414, 2007-9-14, soldier field ii, W, 1113, 5376
14415, 2010-10-21, arrowhead, L, 4519, 6498
14416, 2014-2-20, reliant, T, 4216, 3208
14417, 2008-8-3, soldier field ii, W, 1570, 4846
14418, 2002-8-8, gillette, T, 4350, 4350
14419, 2007-5-25, everbank, T, 4037, 7398
14420, 2002-11-4, dallas cowboys, L, 3171, 6823
14421, 2002-5-24, lucas oil, L, 4716, 4654
14422, 2014-10-17, invesco, L, 2535, 2095
14423, 2005-12-23, edward jones, T, 3393, 9764
14424, 2011-6-15, reliant, T, 2720, 1396
14425, 2002-8-7, lp, W, 2218, 8553
14426, 2010-11-23, ford, L, 2411, 1258
14427, 2000-2-30, qwest, L, 645, 4229
14428, 2016-6-12, gillette, T, 2463, 3586
14429, 2018-8-17, soldier field ii, W, 3173, 6415
14430, 2014-6-19, lucas oil, W, 978, 3583
14431, 2011-4-28, m&t bank, W, 370, 7292
14432, 2016-9-23, raymond james, W, 3583, 2792
14433, 2001-12-12, ford, W, 2057, 9651
14434, 2001-9-16, dallas cowboys, W, 1745, 7837
14435, 2007-8-3, giants, W, 957, 4397
14436, 2015-9-5, lincoln, L, 1302, 4349
14437, 2013-8-2, fedexfield, T, 3770, 841
14438, 2016-12-7, lincoln, L, 3697, 2782
14439, 2017-3-19, lucas oil, L, 4129, 324
14440, 2013-7-9, giants, W, 2489, 3154
14441, 2011-1-24, hubert metrodome, W, 2112, 5315
14442, 2003-11-23, paul brown, T, 3105, 8621
14443, 2015-9-29, hubert metrodome, W, 274, 1595
14444, 2007-8-4, louisiana superdome, W, 2244, 7074
14445, 2012-4-9, ford, W, 920, 5181
14446, 2018-6-13, ford, L, 317, 5978
14447, 2001-3-10, edward jones, W, 2614, 3170
14448, 2011-11-11, louisiana superdome, T, 491, 9874
14449, 2015-6-11, soldier field ii, L, 3134, 2909
14450, 2006-4-29, lp, T, 3007, 9288
14451, 2013-5-12, qwest, T, 2033, 2034
14452, 2012-8-6, m&t bank, W, 2152, 6607
14453, 2007-8-26, fedexfield, L, 1653, 7164
14454, 2004-9-19, lincoln, T, 4716, 5791
14455, 2008-9-25, cleveland browns, T, 2095, 1678
14456, 2003-7-2, candlestick, W, 2117, 9453
14457, 2014-12-28, arrowhead, W, 3486, 2928
14458, 2012-8-29, ralph wilson, T, 3543, 4563
14459, 2000-2-21, paul brown, L, 3301, 6968
14460, 2014-9-25, giants, W, 1116, 4307
14461, 2001-8-25, dallas cowboys, T, 1905, 1310
14462, 2002-6-18, louisiana superdome, T, 4788, 3773
14463, 2009-6-11, lambeau, T, 511, 2093
14464, 2006-7-2, edward jones, T, 1557, 8213
14465, 2013-4-24, lambeau, T, 2678, 9012
14466, 2000-8-21, oakland-alameda, W, 1206, 1806
14467, 2008-6-16, candlestick, L, 4443, 4017
14468, 2005-9-28, giants, W, 1408, 2769
14469, 2007-11-21, lambeau, L, 532, 2560
14470, 2013-10-10, paul brown, W, 4049, 4967
14471, 2001-3-17, giants, T, 1498, 4608
14472, 2008-7-15, candlestick, T, 4399, 1071
14473, 2012-12-24, hubert metrodome, L, 284, 6255
14474, 2006-5-13, lambeau, W, 322, 3049
14475, 2004-6-11, reliant, W, 3280, 5776
14476, 2018-6-9, arrowhead, W, 1146, 8975
14477, 2015-10-6, louisiana superdome, L, 2177, 4226
14478, 2012-7-3, lambeau, L, 3487, 6046
14479, 2000-8-10, invesco, T, 3997, 4961
14480, 2017-2-30, qualcomm, L, 3691, 8784
14481, 2009-5-18, cleveland browns, W, 1403, 1368
14482, 2007-4-26, ford, T, 4379, 1050
14483, 2011-12-7, raymond james, T, 136, 9476
14484, 2014-10-16, edward jones, L, 1376, 5707
14485, 2015-5-26, oakland-alameda, T, 2986, 8933
14486, 2016-6-12, georgia dome, W, 722, 7925
14487, 2004-12-25, hubert metrodome, W, 1367, 7027
14488, 2016-7-7, georgia dome, L, 1395, 5239
14489, 2003-4-14, arrowhead, W, 1249, 4882
14490, 2009-1-17, dolphin, W, 182, 9424
14491, 2014-2-5, dolphin, T, 1105, 7201
14492, 2006-10-5, qualcomm, W, 570, 425
14493, 2018-11-4, gillette, T, 2027, 2294
14494, 2007-8-1, invesco, L, 3307, 2780
14495, 2004-3-7, raymond james, W, 1315, 876
14496, 2015-12-14, heinz, W, 4186, 2624
14497, 2009-12-6, qwest, T, 1735, 4206
14498, 2008-3-10, dolphin, T, 1623, 7182
14499, 2018-8-23, lincoln, W, 3505, 3902
14500, 2000-3-28, paul brown, W, 3604, 5132
14501, 2002-2-10, university of phoenix, W, 3498, 7213
14502, 2005-1-30, hubert metrodome, L, 4138, 6866
14503, 2005-8-29, lucas oil, W, 1641, 5217
14504, 2016-11-6, soldier field ii, T, 1532, 8177
14505, 2014-8-13, everbank, L, 1644, 4852
14506, 2004-11-5, dolphin, L, 2738, 9745
14507, 2014-8-19, oakland-alameda, T, 903, 6424
14508, 2016-5-5, dolphin, L, 1989, 882
14509, 2014-10-28, qualcomm, T, 4052, 3540
14510, 2005-3-15, qwest, L, 4795, 8567
14511, 2004-8-3, cleveland browns, T, 3100, 2596
14512, 2000-11-25, edward jones, L, 3987, 5049
14513, 2007-6-2, arrowhead, L, 3474, 5114
14514, 2013-5-14, heinz, L, 3535, 6107
14515, 2004-2-26, lincoln, L, 915, 8347
14516, 2004-10-27, georgia dome, L, 1827, 2229
14517, 2000-7-15, everbank, T, 2625, 6778
14518, 2006-6-19, university of phoenix, L, 3292, 558
14519, 2013-5-21, qualcomm, W, 4205, 3457
14520, 2003-4-22, heinz, L, 152, 1702
14521, 2011-3-30, paul brown, L, 165, 9223
14522, 2009-2-8, m&t bank, W, 3313, 3180
14523, 2007-3-9, lincoln, W, 2291, 6565
14524, 2010-2-17, lambeau, W, 690, 488
14525, 2000-5-19, georgia dome, L, 3102, 8451
14526, 2010-10-9, edward jones, T, 3413, 9893
14527, 2000-3-6, university of phoenix, T, 2051, 4521
14528, 2009-7-1, university of phoenix, L, 4985, 8708
14529, 2008-10-10, m&t bank, T, 4695, 9485
14530, 2002-5-26, heinz, T, 1150, 6982
14531, 2010-8-10, dolphin, L, 3367, 951
14532, 2001-3-3, arrowhead, L, 3261, 2019
14533, 2009-2-14, ralph wilson, L, 372, 8866
14534, 2015-8-29, georgia dome, T, 1381, 1514
14535, 2018-8-13, ralph wilson, W, 2774, 9780
14536, 2012-1-11, m&t bank, T, 4591, 2627
14537, 2015-7-19, lp, L, 1612, 744
14538, 2001-2-7, louisiana superdome, W, 885, 5505
14539, 2003-5-17, bank of america, T, 2217, 4830
14540, 2011-11-26, paul brown, L, 503, 1746
14541, 2004-9-2, qwest, L, 4080, 4724
14542, 2011-6-30, invesco, L, 443, 5497
14543, 2006-5-7, soldier field ii, L, 1192, 2455
14544, 2009-9-6, ford, L, 3816, 6331
14545, 2016-8-12, qualcomm, T, 3816, 9714
14546, 2017-1-11, lambeau, W, 3323, 7819
14547, 2006-6-14, cleveland browns, W, 2237, 1359
14548, 2010-12-30, oakland-alameda, W, 2681, 3912
14549, 2005-6-29, ralph wilson, T, 1015, 2414
14550, 2018-6-17, giants, L, 825, 5642
14551, 2016-1-19, cleveland browns, L, 4024, 722
14552, 2011-12-18, candlestick, L, 3642, 4125
14553, 2017-1-21, invesco, T, 2178, 1808
14554, 2001-1-4, university of phoenix, L, 2850, 5597
14555, 2011-6-27, dolphin, W, 4671, 1981
14556, 2007-5-29, edward jones, L, 1444, 2633
14557, 2008-4-10, dallas cowboys, W, 1506, 1047
14558, 2002-7-11, invesco, W, 2109, 9288
14559, 2006-12-17, dallas cowboys, W, 4090, 3352
14560, 2014-5-6, georgia dome, L, 619, 4122
14561, 2017-1-26, arrowhead, T, 300, 3564
14562, 2005-9-23, louisiana superdome, L, 2763, 203
14563, 2005-2-27, qualcomm, L, 3599, 2817
14564, 2001-12-3, oakland-alameda, W, 445, 2951
14565, 2001-7-19, paul brown, T, 1934, 2381
14566, 2010-9-23, louisiana superdome, W, 4932, 7762
14567, 2007-10-17, lincoln, W, 1181, 1667
14568, 2010-8-1, cleveland browns, T, 1772, 4751
14569, 2018-6-19, dolphin, W, 338, 3940
14570, 2013-9-23, cleveland browns, T, 1594, 5477
14571, 2001-11-27, fedexfield, T, 394, 4696
14572, 2003-9-27, heinz, L, 1346, 9717
14573, 2011-4-20, heinz, T, 3952, 2614
14574, 2006-6-27, lambeau, T, 4542, 1094
14575, 2015-9-5, edward jones, L, 4709, 7567
14576, 2009-8-1, georgia dome, L, 2226, 8477
14577, 2013-7-16, giants, W, 2009, 5297
14578, 2002-1-8, ford, L, 4842, 5227
14579, 2005-11-25, louisiana superdome, L, 1663, 3229
14580, 2012-11-22, paul brown, W, 3098, 505
14581, 2008-10-4, candlestick, W, 4579, 2504
14582, 2014-12-18, georgia dome, W, 1728, 911
14583, 2009-7-16, m&t bank, T, 2361, 7022
14584, 2003-6-8, qwest, L, 4979, 578
14585, 2017-3-15, candlestick, L, 3295, 9605
14586, 2007-3-28, dallas cowboys, L, 1463, 8004
14587, 2006-4-18, georgia dome, T, 3371, 3371
14588, 2013-3-10, heinz, L, 3163, 1095
14589, 2010-9-17, soldier field ii, L, 813, 3909
14590, 2006-10-10, fedexfield, L, 3673, 1577
14591, 2000-8-16, university of phoenix, T, 3127, 9304
14592, 2011-5-10, soldier field ii, W, 4157, 6394
14593, 2016-5-14, dolphin, T, 2216, 963
14594, 2016-10-17, fedexfield, W, 1973, 6447
14595, 2000-12-12, arrowhead, W, 2284, 521
14596, 2007-8-7, heinz, T, 2594, 6333
14597, 2015-3-9, reliant, W, 2041, 1810
14598, 2018-10-28, edward jones, L, 4222, 2162
14599, 2016-11-1, ford, L, 2593, 784
14600, 2011-8-5, gillette, L, 1561, 226
14601, 2009-11-1, qwest, L, 2607, 4482
14602, 2004-6-8, paul brown, W, 2795, 1183
14603, 2013-11-25, invesco, T, 4874, 889
14604, 2007-2-30, louisiana superdome, T, 4862, 9178
14605, 2010-4-29, heinz, T, 3369, 1159
14606, 2014-2-12, qualcomm, L, 4751, 3106
14607, 2001-2-12, ford, W, 3225, 5588
14608, 2015-7-27, arrowhead, L, 4666, 7351
14609, 2000-6-8, giants, L, 2254, 4375
14610, 2004-2-22, reliant, T, 4076, 7529
14611, 2000-12-15, reliant, W, 4966, 8305
14612, 2004-7-20, arrowhead, T, 4753, 350
14613, 2014-5-8, soldier field ii, L, 3848, 5535
14614, 2014-1-26, ralph wilson, T, 4496, 9953
14615, 2011-12-27, louisiana superdome, L, 514, 4479
14616, 2017-11-19, dolphin, L, 1960, 2838
14617, 2007-1-3, everbank, T, 3413, 1670
14618, 2002-6-28, lambeau, W, 127, 1687
14619, 2012-7-26, edward jones, W, 4011, 4078
14620, 2011-11-11, bank of america, T, 4643, 4500
14621, 2009-2-4, candlestick, L, 1664, 4667
14622, 2009-3-20, lucas oil, T, 4737, 4831
14623, 2002-3-2, cleveland browns, L, 3108, 6119
14624, 2005-11-24, louisiana superdome, T, 2749, 6281
14625, 2012-12-22, oakland-alameda, L, 3469, 5387
14626, 2014-6-16, oakland-alameda, W, 3564, 9272
14627, 2001-8-16, paul brown, L, 1161, 2230
14628, 2012-4-15, louisiana superdome, L, 4204, 2819
14629, 2014-3-10, ralph wilson, L, 2894, 3336
14630, 2008-11-18, raymond james, T, 747, 9434
14631, 2006-11-14, soldier field ii, T, 3594, 171
14632, 2007-6-8, ford, W, 2602, 6126
14633, 2010-6-8, lp, L, 979, 9688
14634, 2000-1-28, paul brown, L, 3366, 4032
14635, 2008-10-26, cleveland browns, T, 760, 3197
14636, 2015-4-16, ford, W, 2784, 8937
14637, 2011-6-29, everbank, L, 2476, 5273
14638, 2011-3-26, fedexfield, L, 4635, 7458
14639, 2003-6-19, invesco, L, 1265, 7383
14640, 2005-4-1, fedexfield, W, 731, 7412
14641, 2016-2-12, reliant, T, 190, 7341
14642, 2002-9-27, georgia dome, T, 1713, 3069
14643, 2018-6-10, bank of america, T, 2746, 4691
14644, 2005-2-9, raymond james, T, 2186, 1082
14645, 2013-8-24, oakland-alameda, L, 719, 3075
14646, 2008-10-29, heinz, W, 4300, 9855
14647, 2016-5-28, university of phoenix, T, 4554, 8381
14648, 2005-3-16, heinz, W, 281, 5437
14649, 2000-8-19, reliant, L, 4928, 699
14650, 2013-7-10, qwest, L, 4268, 9698
14651, 2015-9-1, georgia dome, W, 585, 8182
14652, 2002-4-5, everbank, L, 1743, 8809
14653, 2005-1-11, university of phoenix, T, 1257, 2628
14654, 2005-12-8, invesco, L, 2469, 2931
14655, 2012-6-10, lincoln, T, 1127, 8274
14656, 2008-11-11, edward jones, L, 2719, 7984
14657, 2008-11-26, soldier field ii, T, 4036, 6387
14658, 2004-9-26, m&t bank, W, 3479, 5893
14659, 2010-4-23, lucas oil, T, 3530, 7455
14660, 2016-8-3, bank of america, L, 4224, 9077
14661, 2009-3-7, lp, L, 517, 3459
14662, 2013-1-16, university of phoenix, W, 4346, 4831
14663, 2014-8-16, university of phoenix, L, 2728, 8204
14664, 2004-11-23, lp, W, 3461, 2999
14665, 2010-8-21, fedexfield, L, 3426, 7116
14666, 2010-7-22, university of phoenix, L, 4742, 9178
14667, 2006-9-29, giants, W, 135, 4305
14668, 2008-5-22, dallas cowboys, T, 958, 573
14669, 2018-9-18, lincoln, T, 4270, 1998
14670, 2007-11-2, lp, W, 1498, 940
14671, 2005-11-20, m&t bank, T, 3366, 4001
14672, 2015-1-18, invesco, L, 1312, 8403
14673, 2009-10-2, paul brown, T, 1235, 8059
14674, 2014-9-16, bank of america, L, 3453, 9629
14675, 2008-3-18, lambeau, T, 1194, 9894
14676, 2004-8-24, louisiana superdome, T, 3600, 3173
14677, 2013-2-3, everbank, L, 1478, 623
14678, 2000-2-10, edward jones, T, 528, 7890
14679, 2009-11-1, qualcomm, L, 4547, 8491
14680, 2006-9-3, louisiana superdome, W, 1763, 2292
14681, 2014-12-21, louisiana superdome, T, 4476, 7916
14682, 2012-2-2, gillette, W, 3215, 1420
14683, 2004-10-27, lp, T, 4365, 665
14684, 2013-9-12, qwest, L, 1385, 8929
14685, 2008-5-8, qwest, L, 3848, 9607
14686, 2016-2-13, dallas cowboys, W, 4947, 4063
14687, 2013-1-2, cleveland browns, W, 2847, 1495
14688, 2016-3-23, lp, W, 1886, 1256
14689, 2018-1-11, arrowhead, W, 1495, 3624
14690, 2015-4-27, edward jones, W, 470, 6429
14691, 2013-7-20, lambeau, L, 2491, 9091
14692, 2008-9-6, paul brown, W, 944, 2919
14693, 2012-8-4, fedexfield, T, 4636, 4039
14694, 2018-12-7, lambeau, L, 900, 8095
14695, 2010-8-7, raymond james, W, 305, 2081
14696, 2000-4-28, everbank, T, 4611, 1971
14697, 2009-8-14, paul brown, L, 849, 2294
14698, 2000-12-14, candlestick, W, 1763, 5981
14699, 2005-3-17, candlestick, W, 264, 9831
14700, 2002-3-25, university of phoenix, T, 2045, 6534
14701, 2013-7-14, edward jones, T, 4428, 940
14702, 2016-10-6, louisiana superdome, W, 4850, 1861
14703, 2017-12-20, fedexfield, L, 2582, 4735
14704, 2002-1-29, soldier field ii, L, 3833, 7972
14705, 2012-1-5, university of phoenix, T, 4415, 2222
14706, 2009-1-23, ralph wilson, W, 731, 4716
14707, 2015-9-25, edward jones, L, 1463, 3258
14708, 2000-12-5, candlestick, T, 3564, 8381
14709, 2005-10-5, paul brown, T, 2443, 7042
14710, 2012-8-27, invesco, W, 3960, 6749
14711, 2008-7-27, lucas oil, L, 388, 2631
14712, 2002-6-30, qwest, T, 2456, 3591
14713, 2004-10-21, louisiana superdome, W, 3111, 773
14714, 2002-5-17, fedexfield, L, 1767, 4895
14715, 2014-6-24, everbank, T, 2721, 1589
14716, 2018-7-7, reliant, T, 2105, 9673
14717, 2018-7-30, raymond james, T, 4342, 1952
14718, 2004-11-12, m&t bank, T, 3835, 7081
14719, 2012-10-17, university of phoenix, L, 3680, 2251
14720, 2012-3-17, heinz, T, 1744, 8362
14721, 2013-9-30, gillette, L, 383, 6732
14722, 2017-3-18, bank of america, T, 385, 603
14723, 2003-10-12, lambeau, T, 2154, 1369
14724, 2002-8-12, bank of america, L, 3048, 4237
14725, 2007-9-30, everbank, W, 2156, 7447
14726, 2014-4-30, lincoln, T, 4935, 2602
14727, 2007-10-27, lincoln, L, 581, 5496
14728, 2000-6-27, ralph wilson, W, 2293, 8704
14729, 2001-11-4, oakland-alameda, L, 2739, 2657
14730, 2006-12-21, oakland-alameda, W, 1939, 8371
14731, 2013-12-23, soldier field ii, L, 186, 1466
14732, 2017-11-14, louisiana superdome, W, 3788, 7566
14733, 2005-4-4, oakland-alameda, L, 3782, 699
14734, 2018-12-15, dolphin, L, 2284, 7234
14735, 2015-4-10, lincoln, W, 3177, 2400
14736, 2016-5-3, gillette, L, 3966, 4817
14737, 2004-10-7, paul brown, W, 313, 4911
14738, 2011-2-23, bank of america, W, 1398, 5200
14739, 2012-9-24, gillette, L, 2958, 8442
14740, 2010-4-10, paul brown, L, 2540, 2137
14741, 2016-1-20, louisiana superdome, W, 3547, 5574
14742, 2005-2-14, edward jones, L, 4341, 6174
14743, 2007-8-29, lucas oil, W, 1501, 4315
14744, 2001-3-5, hubert metrodome, L, 4644, 1501
14745, 2010-3-10, qualcomm, T, 1358, 6520
14746, 2011-6-5, edward jones, T, 984, 8751
14747, 2008-4-16, m&t bank, T, 3131, 9620
14748, 2005-12-22, dallas cowboys, W, 1572, 4012
14749, 2012-2-1, fedexfield, L, 613, 3217
14750, 2000-9-20, dolphin, L, 3367, 4708
14751, 2018-10-18, lp, L, 3434, 6570
14752, 2017-1-23, heinz, T, 3741, 6761
14753, 2006-10-6, georgia dome, T, 3850, 3108
14754, 2012-12-6, raymond james, W, 4385, 1416
14755, 2007-6-29, everbank, W, 3619, 7302
14756, 2010-10-10, university of phoenix, T, 2281, 3435
14757, 2013-9-2, lp, W, 243, 4408
14758, 2015-11-25, raymond james, T, 4461, 7413
14759, 2018-8-11, lincoln, W, 3174, 4817
14760, 2006-2-10, ralph wilson, L, 4083, 7104
14761, 2013-7-9, paul brown, L, 2138, 367
14762, 2016-6-6, everbank, W, 3681, 8406
14763, 2013-7-17, louisiana superdome, L, 3699, 5072
14764, 2012-1-7, reliant, T, 4883, 2996
14765, 2018-7-11, dallas cowboys, W, 4762, 5035
14766, 2009-5-27, soldier field ii, T, 3259, 5997
14767, 2006-7-29, giants, L, 4573, 4143
14768, 2012-4-10, gillette, L, 2006, 4497
14769, 2002-1-3, fedexfield, T, 2112, 7206
14770, 2010-9-4, candlestick, T, 1895, 8496
14771, 2016-3-16, giants, W, 4938, 8366
14772, 2012-10-12, giants, W, 4323, 7025
14773, 2005-6-15, qwest, L, 4605, 9936
